,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
28,Pace - Suburban Bus Division,Arlington Heights,IL,20256623.0,42865617.0,27045021.0,44764131.0,63315865.0,36850449.0,18516816.0,24912153.0,49100459.0,23841470.0,34459323.0,42196626.0,42823714.0,41472160.0,65818194.0,68370616.0,34753745.0,29037419.0,93054622.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,-87.9825
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,26502410.0,51782871.0,51763269.0,39375627.0,69273118.0,65556168.0,48718980.0,33869494.0,31725487.0,44735620.0,32514887.0,27555226.0,43974033.0,28045943.0,38009664.0,22561072.0,176783555.0,152952551.0,193514856.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,115362067.0,88726277.0,96335807.0,141593630.0,116104663.0,131515077.0,88450493.0,87409957.0,114103996.0,179872727.0,135071815.0,65803556.0,73746574.0,60341425.0,73102977.0,69786870.0,66756821.0,72224233.0,101826890.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,38216109.0,21362581.0,21099805.0,17285182.0,24134034.0,18980732.0,23940173.0,37479148.0,43131669.0,74992896.0,25053793.0,49363546.0,25052528.0,23544970.0,34801291.0,40343534.0,30273325.0,34071696.0,64567875.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,7675000.0,7595192.0,14400000.0,14199994.0,15000000.0,37204888.0,30004379.0,39587716.0,45946161.0,43512419.0,111723834.0,112850361.0,100357177.0,94734274.0,89726889.0,101385224.0,136479144.0,81548074.0,190475838.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,217498961.0,99947983.0,44224102.0,36101294.0,37329505.0,62578354.0,66154998.0,80352951.0,146587837.0,130434986.0,149912354.0,152224257.0,150796012.0,190761761.0,179041435.0,175579786.0,106298020.0,78331439.0,320261669.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,100140682.0,127313747.0,76585369.0,50602796.0,42028110.0,40765058.0,53392732.0,51369547.0,69703297.0,99760265.0,69963181.0,200894539.0,184743835.0,199980254.0,178571196.0,153056728.0,120563223.0,78387958.0,155324375.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,216067112.0,223141697.0,256323683.0,236781999.0,348587911.0,302192301.0,283625387.0,276067556.0,347745473.0,308226891.0,218574710.0,185380532.0,213602337.0,288142042.0,266406527.0,193255234.0,303654034.0,245467858.0,311836755.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813481.0,29246.0,20757488.0,65979094.0,35854870.0,30934734.0,40396398.0,104168650.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,63095713.0,69214524.0,48879827.0,58151271.0,73470622.0,75104796.0,84752965.0,76534277.0,81531113.0,46186089.0,33050306.0,55381182.0,61578740.0,76610610.0,48686182.0,48972605.0,53003179.0,40045681.0,154147618.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,133673582.0,123548500.0,96282404.0,80286576.0,70246731.0,172581642.0,174295012.0,181008354.0,95710107.0,52649229.0,203854502.0,216650051.0,195544175.0,153670633.0,180350401.0,140537025.0,128901469.0,105516420.0,227187328.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,59256124.0,73262384.0,51093532.0,54581412.0,57770569.0,190748098.0,100284923.0,232649293.0,214400391.0,104183444.0,140391411.0,96205891.0,58780504.0,59819108.0,80389067.0,116274018.0,93565658.0,86141300.0,181110131.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,11784601.0,29038695.0,15679699.0,21562203.0,31098040.0,21387188.0,28617626.0,30850230.0,56949763.0,36509506.0,48351220.0,51456444.0,40981821.0,48868412.0,43808488.0,55042044.0,51581880.0,40106405.0,129355034.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95159216.0,14963810.0,8831326.0,12930014.0,25996370.0,29928376.0,43970267.0,20304920.0,32066882.0,64690367.0,71804706.0,177699658.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,376863722.0,347363634.0,227393544.0,182597217.0,416716379.0,243223585.0,243289608.0,302535132.0,334843828.0,513415006.0,325522790.0,378912936.0,243390499.0,690405623.0,599858317.0,463669698.0,525903855.0,488178183.0,743381118.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,7697613.0,16755033.0,18835950.0,43160680.0,20245442.0,35935620.0,12015669.0,21880718.0,15162472.0,25011462.0,12729661.0,25563010.0,29276329.0,28667220.0,68806863.0,35899892.0,95493177.0,81746312.0,79975407.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
