,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,6.25888445330484,5.733548793976726,6.198994999132102,7.113005852065859,8.56745076893639,8.59240780298419,8.736450116080515,8.681021232002998,9.743132991568183,9.062765388151044,8.636839828924066,8.739223470168278,9.986664859876628,9.855014107433528,11.39398225247306,52.64984033180182,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,14.080902765329418,11.202007046260437,10.3788930481281,11.451500259316783,12.120910862507179,11.048588082187353,11.530500218274993,13.640858030837526,14.350890602174344,16.909405062492088,19.552786909368766,21.033286899340514,20.594697456416505,18.86225952534233,21.258525962492996,52.544379436455486,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,3.707564310823722,3.8454135341078928,4.1114298172994515,4.405470554304777,4.890236850493847,4.681581867117045,4.622733700882408,4.381254384518615,4.19110126082305,4.43265414774469,4.884271562310477,5.489542607322576,5.839066002326839,6.371182398969593,6.442745300181817,13.58928561002852,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,8.196153252817393,7.4330356533471935,7.992380953750872,3.87385667560997,5.712607025141288,4.811475110344148,4.611860488381659,7.50987430537711,6.121471088916226,6.293204456771632,10.86647542383092,17.87357458278773,15.486854705936794,14.93007026984274,21.332608927049662,77.57743922951899,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,4.290245609114343,4.53415759946866,5.291972301904963,5.633733965139898,6.556922617195665,6.885498489473373,5.112577954526967,5.438223470228108,6.226658552256573,6.4525942605191995,7.109577187594817,7.308823307346061,8.100200606505204,9.7118396964601,11.011608387152423,24.234566332286867,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,3.5381625752286565,4.039762014274469,5.369826710258848,6.557819386017537,6.036262044946416,4.679689735058443,4.776842627691858,6.1040950493493265,8.273196585632329,8.09028143081364,6.557922150368279,5.977494927699169,5.922471212294017,6.782348089367658,7.84084899502247,16.470459673351215,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,7.361112940895244,10.662178449564482,14.295464413345773,20.328570139997503,22.6474661599379,20.893224181951847,15.700857961663923,12.436016525527121,9.57763523447151,8.235481728169145,7.853488999859251,8.877810849517443,11.691417156653646,11.667428220781849,10.230876549618097,20.584040846045728,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,3.0490762390550943,3.31586913835749,3.3703145315006884,3.7327210214400197,3.6423264138665763,4.212806664040012,3.8659018652520043,4.363688932912468,5.056140842560754,5.184439071391943,6.006502137948561,6.569815988938542,10.685664261071969,7.755845775511755,6.309120784438355,9.599106717588693,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,,,,,16.393710234826393,5.1637672439832265,3.150976572976707,2.9638423507521146,7.172608141839902,8.321508249424307,10.98952493787694,6.218633934752688,5.018815013138854,10.259201592064601,12.497496481954066,43.74058379231399,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,3.484056987158024,4.41891151226963,4.61183041773694,4.564271452313361,4.48909494320299,4.694386750163466,5.0404233000161485,4.820692082320641,5.200182651982768,5.1125507791067575,7.161111787599909,7.499170702336287,6.6653697293336,7.575460920284905,8.267029399024153,22.313611295424526,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,11.700189810125217,11.703539034678116,12.831429048438075,13.174703054585763,13.734234084769161,15.140400638168927,17.12008169246086,14.21762269822328,16.877726418468097,16.060553323382837,15.06455549696056,17.367060230561464,16.10255873358794,18.252694312382786,18.42281080440612,30.702865222390788,"Olympia, WA",Olympia,WA,47.0417,-122.8959
