,Agency Name,City_x,State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,17900211.0,27981569.0,15286014.0,25809399.0,20980885.0,10524265.0,19111741.0,32558989.0,9068509.0,37833320.0,61011089.0,32520524.0,11968208.0,11123740.0,58769522.0,74672595.0,"San Jose, CA",San Jose,CA,37.3019,0.0
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,25720055.0,29568511.0,34383101.0,40204734.0,33557572.0,25829506.0,42023245.0,33999785.0,34057711.0,34818237.0,37973470.0,38039368.0,35637566.0,42582064.0,47891778.0,44616501.0,"Philadelphia, PA",Philadelphia,PA,40.0077,0.0
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,401098.0,577418.0,1613393.0,447457.0,599490.0,631675.0,618254.0,674714.0,678924.0,864073.0,6647627.0,14901631.0,12986738.0,20225773.0,50927744.0,37265670.0,"Staten Island, NY",Staten Island,NY,40.5834,0.0
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,1795846.0,1525462.0,1317059.0,1382537.0,1115051.0,968323.0,1616494.0,1349823.0,1493047.0,1652603.0,1631688.0,3237269.0,4589295.0,10850984.0,7890381.0,5631180.0,"Cleveland, OH",Cleveland,OH,41.4767,0.0
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,6380900.0,9479424.0,31776888.0,28219889.0,31264879.0,24338789.0,21569323.0,24863226.0,22299575.0,20535154.0,24420554.0,22072706.0,19537973.0,22668160.0,39066070.0,42843286.0,"Portland, OR",Portland,OR,45.5372,0.0
39,Utah Transit Authority (UTA),Salt Lake City,UT,5836782.0,20221494.0,15307593.0,18963550.0,13820133.0,13820131.0,325449108.0,142245566.0,71139477.0,13783753.0,13393453.0,7107797.0,9195344.0,36083841.0,14937623.0,9485213.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,0.0
40,VIA Metropolitan Transit (VIA),San Antonio,TX,5438208.0,5189592.0,7615214.0,6628526.0,3067678.0,2340856.0,2001765.0,2269337.0,955518.0,2156877.0,2455153.0,3531162.0,6026100.0,4035101.0,6005910.0,9148336.0,"San Antonio, TX",San Antonio,TX,29.4658,0.0
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,40000.0,103410.0,398250.0,748694.0,771447.0,653668.0,1859251.0,1156891.0,1143935.0,1141279.0,1404338.0,1355666.0,"Phoenix, AZ",Phoenix,AZ,33.5722,0.0
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,203264762.0,194746536.0,222227288.0,211616824.0,184394599.0,189158978.0,138945280.0,139773298.0,136004854.0,125480140.0,127724848.0,123304664.0,122160611.0,110225266.0,149252484.0,122274406.0,"Washington, DC",Washington,DC,38.9047,0.0
43,Washington State Ferries (WSF),Olympia,WA,76313717.0,106927345.0,116661688.0,121539653.0,109433783.0,115912499.0,116053847.0,120344507.0,125141617.0,129671138.0,136448425.0,142138169.0,146574216.0,119474869.0,121289531.0,106102111.0,"Olympia, WA",Olympia,WA,47.0417,0.0
