,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,536957525.0,306347363.0,133896131.0,114511494.0,108803478.0,146474458.0,253021871.0,345592973.0,356840794.0,466746163.0,488699851.0,588301339.0,522503076.0,449791736.0,446791717.0,525235694.0,490599439.0,664516219.0,1000652824.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,338320639.0,457424715.0,255286342.0,254424379.0,132483589.0,133648550.0,210796404.0,178331880.0,132857347.0,156049941.0,239925574.0,276476386.0,380439370.0,484712559.0,458231743.0,345706801.0,235432459.0,289575469.0,272549997.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,365862298.0,342559544.0,355595786.0,315561779.0,342675417.0,356712181.0,430234169.0,481919807.0,426512572.0,389072048.0,316176195.0,297521535.0,278590312.0,445872376.0,546313456.0,557341851.0,665640006.0,608430871.0,479532211.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,1198560.0,1681264.0,1834634.0,1194847.0,419288.0,305729.0,900514.0,575531.0,192530.0,946315.0,1826424.0,0.0,0.0,35786024.0,82672594.0,48871355.0,57932293.0,100228390.0,149692310.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,66393055.0,59450782.0,50178291.0,57985633.0,86921519.0,85135340.0,97270003.0,69642210.0,95965986.0,22534304.0,33478431.0,70400163.0,61133321.0,87091044.0,54429122.0,59867823.0,90022998.0,48060853.0,143812468.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,139640179.0,130738567.0,85969537.0,39618160.0,63097691.0,190018209.0,317524312.0,220062423.0,75502796.0,114548135.0,253206208.0,390090741.0,390603281.0,249339262.0,133678688.0,83909190.0,117040858.0,170351758.0,211893800.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,256931828.0,69072028.0,44202408.0,124200756.0,248350109.0,337552056.0,594942466.0,655732058.0,624469173.0,444819159.0,307818940.0,115704237.0,54775279.0,55698374.0,47091778.0,152301830.0,86039389.0,57449956.0,72854309.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,6145879.0,26192890.0,6848558.0,12636869.0,24261617.0,15017582.0,26612434.0,15182925.0,33192431.0,17758705.0,38819982.0,52086066.0,35938663.0,32192079.0,33520048.0,183177998.0,77198198.0,34713371.0,22987655.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170363026.0,32186225.0,10451901.0,12708638.0,73327996.0,87434816.0,130914662.0,66309838.0,40163628.0,115035968.0,139797612.0,323370560.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,537730225.0,409521192.0,451105307.0,233749813.0,542157422.0,576888944.0,533805608.0,444096152.0,443971407.0,582828768.0,450036801.0,528104936.0,418867948.0,1058886552.0,949990939.0,589826508.0,757516197.0,950265763.0,716991408.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,76353751.0,84238568.0,70450011.0,108415105.0,90289817.0,94050826.0,65414130.0,91867055.0,131520749.0,157900621.0,83856489.0,150644754.0,134927816.0,123529056.0,177666253.0,152955172.0,185749696.0,169132241.0,158629065.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
