,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,8978675.0,8104320.0,9849185.0,10970064.0,11735134.0,12738573.0,14359190.0,13459650.0,13603397.0,14004119.0,15073327.0,17039639.0,18249755.0,18349288.0,19155304.0,17615823.0,19154997.0,18144687.0,4834234.0,"San Carlos, CA",San Carlos,CA,37.4982,-122.268
30,Port Authority of Allegheny County,Pittsburgh,PA,73845439.0,67959081.0,67830632.0,69668461.0,70423904.0,69020632.0,68523842.0,67620319.0,65099392.0,63547122.0,65458688.0,63838601.0,64798297.0,64007396.0,63608984.0,62991941.0,64221712.0,64149462.0,30143884.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,-79.9762
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,15056374.0,19815954.0,20884050.0,23009621.0,25671120.0,25873927.0,21398535.0,17891013.0,18128252.0,19007989.0,20177582.0,20425175.0,19804505.0,18133557.0,17370952.0,16414097.0,16668770.0,16419312.0,9084338.0,"Providence, RI",Providence,RI,41.823,-71.4187
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,31461687.0,26795671.0,24708267.0,24797281.0,25310534.0,27218856.0,87011062.0,81173196.0,78880081.0,84193158.0,84321250.0,86027365.0,93221520.0,95389249.0,89542225.0,86549922.0,85347405.0,86551000.0,45951083.0,"San Diego, CA",San Diego,CA,32.8312,-117.1225
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,95161017.0,94914610.0,98630556.0,101491332.0,105980376.0,112444082.0,117236548.0,110422203.0,108275088.0,114325389.0,123367070.0,124747262.0,132287368.0,136003232.0,136246897.0,130337963.0,128662311.0,127592425.0,35138807.0,"Oakland, CA",Oakland,CA,37.7903,-122.2165
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,51421843.0,42581269.0,39122283.0,39133891.0,42558461.0,44187034.0,46651435.0,44359538.0,42077520.0,43170314.0,43740992.0,44420956.0,44847517.0,45423203.0,41332507.0,38032917.0,37087276.0,36254030.0,15942485.0,"San Jose, CA",San Jose,CA,37.3019,-121.8486
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,297866962.0,300081675.0,332095715.0,328606116.0,326825073.0,320902321.0,329755213.0,319792409.0,332158191.0,336023881.0,348736973.0,356930340.0,345333888.0,351132408.0,336283346.0,322543159.0,316235213.0,310266311.0,136852495.0,"Philadelphia, PA",Philadelphia,PA,40.0077,-75.1339
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,3563232.0,3429174.0,3358318.0,3480967.0,3809460.0,4171257.0,7860630.0,7218047.0,7635883.0,7516908.0,6467898.0,6985193.0,8301794.0,8557009.0,8614320.0,8244129.0,8129661.0,7731849.0,2713941.0,"Staten Island, NY",Staten Island,NY,40.5834,-74.1496
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,52624708.0,53406629.0,56028769.0,63975476.0,69249802.0,60848950.0,61597123.0,46970978.0,44624503.0,46210113.0,48234103.0,49206288.0,49245883.0,47021539.0,44237040.0,39631317.0,35162692.0,32171825.0,16862761.0,"Cleveland, OH",Cleveland,OH,41.4767,-81.6804
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,89472339.0,89841042.0,95560394.0,96851889.0,96964303.0,98410615.0,103637325.0,100076099.0,104768653.0,106071387.0,106476226.0,98639172.0,102055527.0,101442047.0,100091658.0,98026220.0,97071135.0,97070628.0,49899956.0,"Portland, OR",Portland,OR,45.5372,-122.65
39,Utah Transit Authority (UTA),Salt Lake City,UT,30944603.0,32582213.0,34629811.0,36160914.0,37778327.0,35185283.0,39523205.0,37965873.0,39040703.0,41558034.0,42347333.0,44265378.0,46279544.0,46721584.0,45521914.0,45078919.0,44176331.0,44578161.0,23559294.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,-111.9306
40,VIA Metropolitan Transit (VIA),San Antonio,TX,38210955.0,37605142.0,38025362.0,40657272.0,43778237.0,42860095.0,47052709.0,43121820.0,43218468.0,46146794.0,47507874.0,45300852.0,43102749.0,39505160.0,38663980.0,37837352.0,38872815.0,43907287.0,27667398.0,"San Antonio, TX",San Antonio,TX,29.4658,-98.5253
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11348341.0,12616937.0,13161638.0,14042008.0,14226293.0,14263662.0,14759817.0,16303599.0,16268923.0,15406410.0,15060207.0,8557187.0,"Phoenix, AZ",Phoenix,AZ,33.5722,-112.0891
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,395302375.0,396388683.0,393043291.0,395017558.0,409520629.0,416725775.0,430780930.0,429008678.0,415377200.0,424590298.0,418734638.0,415798388.0,410939190.0,393165745.0,359280525.0,353984721.0,351541048.0,364849355.0,128648622.0,"Washington, DC",Washington,DC,38.9047,-77.0163
43,Washington State Ferries (WSF),Olympia,WA,25138549.0,24376276.0,24071853.0,23817486.0,23860207.0,23599410.0,22654332.0,22753817.0,22450482.0,22361427.0,22190847.0,22546383.0,23139886.0,23887137.0,24192768.0,24480626.0,24686911.0,23884515.0,13986663.0,"Olympia, WA",Olympia,WA,47.0417,-122.8959
